log2FC	gene_length_kb
4	0.136450498579318	0.019
10	-0.0466735175318208	0.019
13	-0.0751773248819562	0.019
15	-0.149159789215848	0.019
20	0.291375887387368	0.02
23	-0.0918203357916757	0.02
30	0.0319224073533199	0.02
54	-0.314091969167505	0.022
55	-0.0637101654308474	0.022
57	-0.1176146292146	0.022
64	0.243110328545425	0.022
70	0.0559108568887176	0.023
75	-0.190143977107877	0.023
76	0.51021838201178	0.023
77	-0.0561323722860919	0.023
80	0.22320622787058	0.023
86	-0.0928076101110476	0.023
97	0.184232501280371	0.024
98	-0.0485956102148911	0.024
100	-0.454646031545533	0.024
102	0.011363325004674	0.024
109	-0.0746155788871964	0.024
110	-0.0985314588894696	0.024
114	0.200610208679397	0.024
118	-0.162340459640938	0.025
119	0.137334208064641	0.025
120	-0.0254464165968416	0.025
122	-0.167431980309723	0.025
126	0.406065130419982	0.025
129	0.11499766977841	0.025
130	0.467649691354346	0.025
131	-0.142246611303661	0.025
132	0.364050686860088	0.025
134	-0.132412312725966	0.025
135	0.0919054525188867	0.025
138	-0.0316585201349163	0.025
142	0.122024080137005	0.025
151	0.103356932644287	0.025
164	0.0661292033731198	0.025
176	-0.0310624109754455	0.026
177	-0.0310624109754455	0.026
178	0.379975954928716	0.026
180	0.0785146956979809	0.026
181	0.666868051365588	0.026
194	-0.0254464165968416	0.026
195	0.105082138680905	0.026
196	-0.0498673305734	0.026
199	0.96869507595445	0.026
200	-0.311346596827348	0.026
227	-0.0549378425294557	0.026
238	-0.225236491378809	0.027
239	-0.126201163858767	0.027
240	0.0537804279368028	0.027
241	0.186186455995959	0.027
242	-0.107739201887936	0.027
246	0.0433659621305181	0.027
250	0.546296199858045	0.027
251	0.298437356690062	0.027
259	0.167176294371988	0.027
263	0.186482062844334	0.027
270	0.307629671179022	0.027
272	-0.0176485664230693	0.027
275	-0.0310624109754455	0.027
281	-0.139469128520807	0.027
282	-0.0257368363200769	0.027
303	-0.0254464165968416	0.027
310	0.559286761700839	0.027
315	-0.0254464165968416	0.027
362	-0.0257368363200769	0.028
366	-0.147663633956498	0.028
367	-0.0739595323809396	0.028
371	-0.0516873903282401	0.028
395	-0.0254464165968416	0.028
399	-0.0257368363200769	0.028
406	0.0559108568887176	0.028
417	-0.0254464165968416	0.028
426	-0.464249099493324	0.028
431	-0.0257368363200769	0.028
445	-0.182448743963972	0.028
460	-0.0254464165968416	0.028
484	-0.0254464165968416	0.028
486	-0.201621712236195	0.028
495	0.00597825301339641	0.028
502	-0.0316585201349163	0.028
506	-0.505852678808739	0.028
522	-0.188716298828204	0.028
537	0.185625872756975	0.028
539	0.257350546603755	0.028
579	-0.0915146250704114	0.028
585	-0.0254464165968416	0.028
601	0.105082138680905	0.028
607	0.0649070528560286	0.028
610	0.00697205695582782	0.028
614	-0.0257368363200769	0.028
619	0.0044633148718192	0.028
621	-0.0310624109754455	0.028
624	-0.0310624109754455	0.028
681	-0.327157745079867	0.029
682	-0.0681039140681482	0.029
683	-0.0254464165968416	0.029
693	0.0743873700294515	0.029
698	-0.0254464165968416	0.029
706	0.131920552768835	0.029
726	-0.0310624109754455	0.029
733	-0.0254464165968416	0.029
743	0.0760241809174501	0.029
774	-0.0310624109754455	0.029
828	-0.0316585201349163	0.029
842	0.0130374715755506	0.029
845	-0.21935514846309	0.029
853	-0.143147251425545	0.029
876	1.45861971525781	0.029
892	-0.0551917490617952	0.029
910	-0.0310624109754455	0.029
923	0.0325456609668968	0.029
925	0.344629815191575	0.029
929	0.504986951865952	0.029
947	-0.0462010613121689	0.029
975	-0.0316585201349163	0.029
991	-0.0254464165968416	0.029
1018	-0.0257368363200769	0.029
1060	0.105082138680905	0.029
1062	0.00994014853549142	0.029
1064	-0.137862783568362	0.029
1070	0.205366281132982	0.029
1090	-0.0310624109754455	0.029
